Topic ,Comment
""""" Don't use the abc bank ever""""","I am using the bank last few years but I am very disappointed in this bank because the customer service is very bed and and the all of abc bank. Is talking rudly and and the rush on this bank always active .Now a days all the banks are user friendly and they help a lot to the customers and treat them with proper respect but here they treat humans like aliens and they don?t even tell us what is the procedure to do certain things they scold people rudely in front of others and they ask us why are we coming to their banks without knowledge works and refuses to help the customers the poor and old age citizens are not comfortable with this.that?s by I give 1 star for his staff.

"
abc bank (abc bank),"abc bank is a abcdn bank .abc bank salary start in 10000to 60000.and apply any computer scince student and comerce student .bank work is no hard work and easy work.

benifits- any person opan a bank account in abc bank .and bank providing atm card and check book your custumers.

job securiyy-abc bank job security is good.

and all comuter scince and commerce student career in abc bank.

work environment is very good.

"
Best Bank TO WORK,"abc bank is one of the best and safest place to work

Here you Can get Salary And benefits And you have Full job security

to get job As po or clerk In abc bank you first have to clear its po exam for po post and abc bank clerk exam

for clerk job

Career growth with abc bank is to dam high you can lots of salary bani fits

work environment At abc bank very good But Some Time you have to handle TO many customer

If you are key to do work in bank abc bank is one of the greatest Bank to work

CEO of the Bank is Awesome and has easy to work with them they give you suggestion How to

work in different situation

It Best bank to work

"
abc bank,abc bank have very fast and easy banking service. Employees of abc bank is well behaved and know there job very well. abc bank give us lots of benefit on our investment policies. abc bank have good customer service to help customers and account holder's. It give job security and give benefits after retirement. abc bank net banking is easy. It provide easy way to transfer fund or doing payment online for anything. abc bank Atm are available all over abcd to provide you cash when you need it anytime at abc bank Atm.
abc bank The king of all banks,"abc bank the best bank I thick in abcd which serves with a number of branches in abcd which offers employment to a lot of people with a large number of accountants.

Beacuse of its neft imps transfer net banking mobile banking customer services and atm services it is now loading as a top mist bank in abcd with a large customers.

The work is easy to the people through its high functional activities.

Atleast in a small village also it serves with a branch.

Hoping it is the successeding one

"
Very bad service,"abc bank is a very reputed bank of abcd . The most of the branches of banks in allover abcd of this bank ( abc bank) . But instead of it the employers doesn't mean anything to the customers service. They even doesn't talk with the customers softly. I was also and work in that bank before some days .

I go for a cheque work I mean I want to transfer the cheques money to my account and that was my first time in which I have a work of cheques. So I was not any knowledge about cheques . So I was working after advising some people Working in same bank at small posts .

They tell me that fill the form and staple that form with the cheque and put into the box. I did the same . After waiting 3 working days I think that money isn't transfer till now . Then I go to the branch and tell my problem then a lady worker told me that I have to so much work today so please come tomorrow and I was so frustrated and come to the home. Then next day I went again in the branch and go to madam but security guard said that madam come after 12 so come after 12 . I was so irritated but I can't do anything. I go after 12 and there I tell that lady worker about my problem again and she said that you have to wait for some time and then I again go to that madam and then she give my cheque to me and said that signature are not same . I was so irritated that if this was the result then why I came here 3 times . But I haven't have to do anything instead to go home. And then I come to my home and telling others about abc bank's employees work. I am so frustrated after this ."
Going down,abc bank ( abc bank) bank is a public sector bank and it's mostly people using bank and more over thousands of employees are working in abc banks to give service to the public in terms of money and it's highly reputated bank in abcd but know the bank is not maintaining the customer service satisfaction because the employees working in the branches of abc bank they are not not responding quick customer problems of accounts and cheques and so many issues they are very slow and they don't come to bank in time and the is no proper rules and regulations to them and they simple take their salaries in time and they don't come in time to bank and they don't respond to customers problems in time and they don't tell clearly and they are simply irritate customers with their lazy attitude and it's slowly loosing it's reputation and finally it's a worst customer service bank.
Bankers bank,"abc bank Is the largest chains of bank.it has large number of brances under it and many ATMS . Lets discuss the pros and cons. PROS 1- we can do various opertions with these bank 2- Redarding to carrer oppurtunties it was best and job security. 3-arundathi batacharya is a capable CEO of abc bank CONS 1- In some baraches employes behaviour was very rude 2-as my knowledge concern tax rAte is hign when compare with others brances

"
abc bank is the best'.,"Hello, Friends Now I am going to tell you about about abc bank it does not an introducation there r lots of bank I agree. If u have a Adhaar card u can eisely open saving account no more id proof required no need to stand when will the bank employee update the book. Just go infront of the machine and update your self . Helped the people to understand internet how to use green chanel so on'.

"
All banks of head,abc bank is all those of banks head in abcd.abc bank is reserav bank of abcd's agent.abc banks employee is in abcd.abc bank area is largest in abcd.abc banks sakha is vary much in abcd.abc bank loan give is a every field.abc banks is atm very much in abcd.abc bank is work under in reserv bank of abcd.
This is every abcdn bank,"abc bank is worlds biggest bank we will be proud of it . It provide all facilities to their customers like debit card, credit card, net banking, demat services , loan facilities, interest rates are also very reasonable , customer care services and availability of banks, atms are also good, message alerts to mobile and send the notification through letters are very fast."
Worst coustomer service ever seen,I have visited abc bank yesterday I had expereinced that the employee of abc bank full of ego types they ate talking with so rudeness coustmer service are very roughly even the manager also. When I was trying to. Di complaint to manager for theirs employees manager dosent do anything they said they are busy rght now you come tommorow then I will do something. Worst service that I have ever seen even I have visited all other banks other banks are too good compratively to abc bank
abc bank OF abcd,"abc bank is the leader of all bank they providing a very good survice recent noot band.all over abcd plantey of survices in banking sector like ATM, mobile banking, netbanking, bank baddi wallet, homeloans, recharge mobile& dth, insurence bill, debite card, creditecards etc thay giveing very strictely sincearearly.

"
Customer service is bad,"abc bank is the only centralized bank which works under the reserve bank of abcd.

The job n abc bank facilities is good for employees but the customer service is bad.

The treating the customer in a rude behavior is much horrible I have seen in many branches n I also have account in abc bank.

The atm centre's are very good service n have lot of number of atm per very area.

The fixed deposites of the abc bank are very low n has strong locker system so you can trust them but customer service should improve to handle more customers"
First Bank.......,"In addition to bank deposits and debt to do oher work, such as security deposits for people to keep their Abhusnadi valuable things, for our customers to collect their checks, bills to deduct business, agency work, slyly to take stock of the economic situation of the customer.

the baks do not only currency transactions, but also the behavior of credit. bank credit to the creator of so called. works to encourage capital formation nd help in the progress of production. the bank is thus abc bank. CEO Rating very power full."
NO 1 Bank in public sector,"Today we are going to talk about the abc bank top bank in abcd in public sectors bank.

As we all know that the abc bank is the no 1 bank in abcd an it has reason for it let's talk about some features of abc bank.

1.abc bank is no 1 bank.

2.Features of this bank is advance than any other public sector bank and even some of the private sector bank.

3.abc bank has number of services to give to their customers.

Lets talk about their services and products:

As we all know that abc bank is a leading bank in abcdn economy they give some of the terrific benefits and services to their customer

abc bank has 49557 atms all over abcd.

They also give non banking services like

1.abc bank Capital Markets Ltd

2.abc bank Funds Management Pvt Ltd

3.abc bank Factors & Commercial Services Pvt Ltd

4.abc bank Cards & Payments Services Pvt. Ltd.(abc bankCPSL)

5.abc bank DFHI Ltd

6.abc bank Life Insurance Company Limited

7.abc bank General Insurance

These are some the subsidaries of the abc bank

Apart from these abc bank give a true experience of banking and convinience like

Atms all over abcd

fast net banking services

mobile banking services

missed call services to know balance and mini statement and many more

At the last I want to say that abc bank is the hero of banking sector

Thank you

Please like and comment if you like this review"
"abc bank, The name its self say everything","abc bank abcd largest government bank under RBI. This bank help to improve the ecenomy of abcd. It has several branches in abcd. Now a day because of notebandi, abc bank play a vital role to improve ecenomy. Several others bank have link with this bank. It provide several facilities to its customer. Online banking, buddy app and others app have been provided by this bank. RBI gave 1 st priority to abc bank for implementation of services to customer. No doubt abc bank is a good branch in abcd since more than 100 yrs and it give a good service to its customer.

"
abc bank The Nation's Bank with A service to Talk About,"I have been a customer of abc bank for a Long time. The Bank has a vast network of Branche and ATMs all over the country. It employs a large part of the country and has a emotional connect too.

The abc bank offer great Salary and benefits to it's employees and gives job security too.

Career growth is great, people can become managers and enjoy alot of perks. The work environment is good and not very much hectic.

CEO is Arundhati Bhattacharya a very competent and knowledgeable.

The only thing the bank lacks according to me is the service part to it's customers. But, we have to consider that abc bank has a very large customer base and it's a bank to every abcdn Rich or Poor, so they have big pressure and catering to each customer is difficult but not impossible. Sometimes due to being a govt. undertaking the managers behave rudely to it's customers.

It is considered safe as it is a nationalised bank. The minimum balance required for savings account is also very less, it's INR 1000 to 0 in most accounts.

All in all it's a nice bank to be associated with but you won't find much personalised banking other than in it's Kohinoor branches.

Thanks for reading my review.

Please like and comment.

In case you don't know me. This is Naveen Saha"
A VERY GOOD AND TRUSTED BANK,"abc bank is the very good bank . the services of the bank is very good the management of the bank is awesome the employees of the bank talks very respectively and knows the problems of customers . we can easily send or pay money online every where . also the ecorner is great all the machines are present their for instant work ATM{ automated teller machine ], CDM [ cash deposit machine ], PUM{ passbook updation machine ], CHDM [ cheque deposit machine ] all the machines work properly and saves allot of time . abc bankis great ."
Work Ethics not maintain,"Hi as per my personal experience with abc bank lower parel branch. whenever I went to branch no one can attend for query related to saving account. seance 02/11/2016 at morning 11.30 am I reached branch for forget net banking password correction. but who is attending this query thous person not come at duty time. and when I asked to Clint service executive for related this matter. they had also told me to wait, when counter person will come then your query will solve. He was come at 12:30 pm. so I recommend to all please do not create your saving account in abc bank. you can create your account in other privet bank also."
Rudly Behaviour,"My name is sunny from . I have an account in abc bank since from 2016 bt I didn't saw a staff like mr. Deuri he dont have any manner to

Talk . not even know how to behave with customer . sir I think we are a customer not beggar . abc bank always says that it is only becoz of customer we are at this position . bt I really sorry to say you that abc bank jairampur is not working properly. Only to open a joint account they are still taking 6 months .dont you think it is too much? Even forms are not available.

"
Really Great Services,"There is no compitition of abc bank services whether it is net banking, mobile banking or CDM. I have been customer of abc bank since last 8Yrs. They provide great banking services. Cash Deposit Machine is awesome. You do not need to wait for opening of bank to deposit cash. E-Corner is a great option. You can print your passbook as well. It was yesterday only when the currency of 500, 1000 was declared to be invalid from today. As the CDM was works 24* 7 people deposited their notes yesterday in CDM. So personally I think no other bank provide such a great fascilities.

"
abc bank,abc bank is very slow working bank. many employee of the bang did not work carefully.many time the internet banking not work watching a server problem .when you drop the cheque in bank then one week later clear the cheque . so people is many problem for this slow working.abc bank provide many places atm but many of atm not working. abc bank only for goverment employee bank because only for government employee loan provide for tis bank but common people not provide loan or this bank.
Management and Work / Customer Relationship,"Good culture and strong goals of a company that cares for thier employees. Management is strong, advance in your career.

This is a great company to get your foot in door from a banking stand point, learning the ways of the bank and dealing with customer problems is some of the few things you will experience at this bank.

customer who are not satisfied with how the bank operates and representing the bank you have to understand that not all problems can be fixed and we have to attend to the the customer in the best way possible.

"
Customer care or carefree number?,"This afternoon I have received a SMS from abc bank IT service saying I have to provide FATCA declaration for the smooth functioning of my(?) account which I don't have in the past and present and most definitely after this call made to the Toll free number regarding the same issue.

The lady had surely have an issue with the vocal and doesn't deserve to be in the customer care for this foremost reason.

Secondly she had readily have an answer by assuming the customer's complaint.

Finally she concluded the conversation after saying "" Thank you for call. Day"" and disconnected without even expected whether the person called is understood.

Sht yaar. even after so many FDI in banking sector this nonsense continue to be senseless.

Long live privatizations.

Regards

Ramnath"
abc bank review,"abc bank or simply abc bank is a PSU bank. This is the largest bank of abcd. But as a big name abc bank the services of abc bank ( abc bank) are very poor. The employees are very cold , they behave rudely to their customers as they don't care about who you are. In many branch they make fool of you saying that this is the rule by RBI and many times they don't open saving accounts of customers.

I am really don't understand if they are for serving customers or not? Kindly improve the banking service.

"
Zero balance account- no issue cheque book,"In abc bank, there is government policy taking by prime minister Narendra Modi, there is open a account on zero balance. Without giving any amount to open this account. Because in several villages, there is no one can use it there own bank account anymore. But this policy will make record in the limica book of records to highest number opening account in abcd. So this is the achievement but this account not provide cheque book to their consumers. Because they have not withdrawn money from this instument. And in this account have some limits to not deposit more than 50, 000 and not maintain huge amount to this account. So there is some limitations to access this account. So government will improve these limitations that will more help to public. So overall it is good and beneficial for poor as well as middle class people of abcd."
abc bank Review,"abc bank is a largest bank of abcd .and it servive many years old bank. But its service is not fair by slowly.

Yes guys I told about abc bank .I opened an account before seven years in bihar branch but at now I live at new delhi .Their are many problem just as If I deposit money own back account even his demand a green card etc. Which any bank are not allowed thus service .If any problem create my back bank a/c I goes any branch that simple word pls goes to home branch etc. Now u understand Only bank related I go Bihar from New delhi . its service is not good.

"
abc bank,"If when you think about a bank then first abc bank comes in mind.

abc bank internet banking, ATM and mobile banking is the best thing for which we consider about abc bank. If we search internal thing or on site service then it is the worst bank than others.

The behaviour of employee in bank is not like good, they show peoples they are busy, so they not treat you well.

It's Internet banking is simple, easy to use by every people.

After an withdraw every time you got a message but it is happen on deposit.

Due to ATM service, It is used by mass of people.

"
Pathetic working staff.,"This is not always happens when you visited a bank stay there for 3 straight hours and the purpose is'nt fullfilled.

Yes, gyuz I am talking about the abc bank burari, delhi -110084 branch. This is the worst bank I have ever seen in my entire life. There is no division of labour and only one and two counters are active.

You have to stand in a very long line just for deposit , challan, or draft like works. And yes , the 80 percent staff includes perosons with disability there.

This branch is always out of account opening forms.

Just discusting conditions here. Don't open any account atleast from this particular branch.

"
Poor Management of Financial Resources,"No of branches are increasing day by day and quality of service is downgrading. Existing senior employees are not willing to work as per the requirement. ATM are not maintained. In Vapi abc bank swayam is opened since to months.since then non of machine is working.
"
abc bank a next trusted future,"abc bank is a progressing bank of abcd . abc bank provides various facilities and provides different services according to different yojna, so that people get all new reforms which are coming in our daily life. Ihad also open new account in abc bank and enjoy the service that provides with proper cooperation.

"
EXTREMELY BAD ALL SERVICES.,"Satate bank of abcd ( abc bank ) friends I told you never opens any account in this bank, this bank all services extremeky bad friends.

I have already an acoount in this bank, brfore days am going in bank for withdraw the money.

bank staff asked me in the bank 500 notes not available , I want to 1000rs but bank not gives me money.

in this bank atm services extremely bad friends, statw bank in atm not fonud any cash and many times machine not properly working.

this bank customer services extremely bad friends, I told you my friends never open any account in this bank."
One of worse bank ever on this planet.,"Banking service-worse

staff-they are like goon

services-its like u are on a general store n no one is their to listen your problems.

atm-only numbers are high.

loan-u can't get it even u have a proper doccument they treat u like a refugee or beggars.

public facility-its look like they are unaware of customer.

y I m telling u then listen.

1.my father had a pension account in this bank but they never get a respect of senior citizen I go their for him to stay in que for a long time.its because their is staf but only few of them working.they work like they are at home having tea on their chair.they without any issue raised issue many time n send my father to go table by table.

2.at that my father made some fixed deposit what ever he had from his retirement but at the time of giving back that money they made too much drama n my father run from one counter to another then at last in evening he get his money.

3.when I was in college they send me back for a education loan for one lakh rupee."
I trust you abc bank,"abc bank is most popular bank in abcd n trusted too.

Now iam going to share my personal

Exprience

I am a regular user of abc bank not because of effective, because of it full fill our all requirements

Amazing internet exprience

I do online transactions and maximum number of branches are helpful toevery one to complete their requirements but only problem is all branches should have product knowledge about all banking products.

regads"
Most popular bank in abcd,"Best bank in abcd which is renamed from IMPERIAL BANK to abc bank.Founded on 1st July 1955 with a motto as The banker to every abcdn Head quarters at Mumbai.Good in services to a customer but the transaction fees should be neglected for non home branch accounts.Recently abc bank mixed all its subsidry banks and formed a BIG abc bank GROUP.

THANK YOU

"
Good,"Right bank I have ever used

Tins bank may do every thing easily

So I suggest u to open the account in the bank very helpfull?

In that bank security is good

To withdraw a money form the abc bank

The worker check all the thongs in the pass book

Check the signature, account number is the basi all of them check tha acc number

?"
More relaxation in this form.,"In this form salary of these employes are very help full for all these man who employed in this form and it gives every people who employed in this and it was satisfied amount for these.

Its secure our money very wellly and it was give very secure for all the costumers by theft when it was given security then we live freely.in our houses

Youngesters should join for the employment inthis form and it was very freed and it eill give saficient salary for all.

In that time all over the world thefs are grow more faster and we will not abaware about that"
abc bank the father of all,"Hi all frnds and I have a abc bank account and m very happy for abc bank because he is very good serves and very good help lines and batter lon and saveing accounts I think it, s batter than all bank and he have trasted way to save money and batter offerchunety for his all chostmer and I tell u one thing his net banking is soo good and no needs for any aap its started on ur main browser its too good yar

"
abc bank pirangut branch,Worst bank the person who was sanctioning my loan asked 10000 bribe from me. I had submitted all documents which they asked me. They took one month but still did not sanction. All staff are lazy and not willing to work worst bank. Icici banks are good in customer service
My bank . abc bank,"The abc bank is a very good service provider bank to their customer. it is very popular bank of abcd. It is abcdn, multinational, public sector banking and financial service company.my all family account is open in this Nice Bank. The Jobs in abc bank is very simple. It's all ATM is open 24 hours with money. abc bank is better than Union Bank. I always like this bank. I am use the ATM card of abc bank. In this my city a number of abc bank and ATM machine.abc bank now provides now your ac balance and transaction details over phone round the clock."
abc bank SERVICE IS SO EXCELLENT,"abc bank IS A ONLY BANK WHO GIVE PERFECT SERVICE TO THEIR CUSTOMER. MY EXPERIENCE IS THAT I HAVE TWO BANK ACCOUNT WHICH IS ONE abc bank AND ANOTHER UCO BANK BUT NOW DAYS WHEN I CALL abc bank CUSTOMER CARE ALLWAYS THEY GIVES THEIR VALUABLE TIME TO ME. I ALL PROBLEM SOLVE VERY QUICKLY. BUT NOW DAYS UCO BANK THIS BANKS OPPOSITE NOW DAYS MY ACCOUNT OPEN TWO YEARS BEFORE BUT THEY NOT RECEIVE MY PHONE ONE DAY. ALLWAYS DISPLAY BUSY. BUT NOW DAYS I USE MY abc bank ACCOUNT PERFECT BUT UCO BANK DORMAT.

"
abc bank service,I have a account in abc bank. It's network not good surely . All branches unemployment and clerks I am shared you this abc bank rating and progressive matter I am some time went a branches notice board shown out of service/lunch break /time up improve this all abc bank mamber and focus it customer problem
abc bank NEW RULES,"I got shock to listen 1 matter that was the abc bank new rules

The rules is very poor deccession and it does n't use for clustemers

We deposit the money in your bank for A safety purpose then y does you money cut and giving a un suitable reason.

That was the my account and its my rules why we maintain the balance

Bank jobers also not giving proper reason for it and way of talking is not correct

In abcd all banks are full filled with people that time tha bank employes not giving correct reason. When the ATM machines and money get to with draw"
